source,target,weight,RideID,DriverID,CustomerID,VehicleID,StartLocation,EndLocation,StartTime,EndTime,TripDistance,TripDuration,ZoneID,TimeSlot,Demand,Supply,BaseFare,DistanceFare,SurgeMultiplier,CurrentLocation,AvailabilityStatus,StartCoordinates,EndCoordinates,EndPoint,TimeCost,MonetaryCost,EstimatedTimeToDestination,CurrentTrafficConditions,ProbabilityValue,RandomSeed,TripSuccessRate,AverageWaitTime,Cost,TripDuration,TimeOfDay,WeatherCondition,DayOfWeek,TrafficCondition,PickupLocation,DropoffLocation,UserAgeGroup,HistoricalTripCount
0,1,5.301415679,SIL355,HGNICL,B1K4KA,SML5BM,"1.255784, 79.982622","87.856236, -57.204379",12/6/2023 11:34,12/6/2023 13:16,37.48,102,9,8,29,5,3.28,2.3,2.4,"-74.477864, 90.179974",Unavailable,"58.2448599744809, 77.52193961114517","57.664768802546654, 78.41851448279961",477,40.56,25.16,40.07,Light,-0.557857225,6777,0.89,13.45,36.87,5,Morning,Rainy,Monday,Heavy,58,17,18-25,23
0,2,7.725467542,K7BMJK,KIGW8K,B56GQR,52O34Q,"51.901785, -67.117126","-79.979811, 158.730928",12/6/2023 4:53,12/6/2023 6:30,28.35,97,8,22,24,25,4.29,1.6,2.7,"-1.651308, 59.354138",Available,"-63.119517671891614, -50.780369037107334","-63.42813692950594, 309.5759057146416",429,14.57,11.4,14.93,Heavy,0.023257238,1770,0.84,5.26,43.18,109,Evening,Rainy,Wednesday,Light,92,63,26-35,4
0,3,1.159828518,SZ2OTE,QZTWSD,G380VG,5CVCE3,"72.383572, -132.208995","-41.586461, -151.989578",12/6/2023 5:59,12/6/2023 7:03,6.16,64,1,11,34,8,4.9,2.07,2.1,"-34.111994, 117.285509",Available,"84.37611947475648, -104.81658449592751","84.0628449607779, 256.11738356454157",678,34.55,30,30.88,Heavy,-0.620807552,1136,0.9,13.92,59.09,39,Afternoon,Cloudy,Tuesday,Moderate,33,9,36-45,45
0,4,3.330303069,WSRKSB,W06WQ1,XHIFMR,EW07VF,"-7.225482, 127.915358","-81.355608, -34.172128",12/6/2023 5:16,12/6/2023 5:45,11.1,29,4,21,10,30,3.7,2.01,2.9,"22.466654, 83.467177",Available,"47.389234471472605, 149.9720621832895","46.50322059229375, 150.69569060387636",708,118.94,45.98,97.43,Heavy,-0.748464513,4936,0.96,9.78,31.39,21,Morning,Rainy,Saturday,Moderate,47,91,56+,46
0,5,7.502812129,OMT2D6,ASBWXE,71FQCQ,QX59VV,"-74.214114, 139.361876","-11.694991, 128.334934",12/6/2023 14:10,12/6/2023 16:04,20.71,114,3,17,15,3,2.83,1.74,2.9,"82.666878, 47.193972",Unavailable,"-30.173923728213467, 96.78015225896644","-30.439886018044014, 96.51952632858172",533,119.47,9.13,116.51,Light,-2.342517965,5018,0.94,8.55,87.01,13,Morning,Rainy,Wednesday,Moderate,49,12,56+,29
0,6,3.765531229,760XJY,ETTE2I,2LKK6O,VXOPNZ,"26.643715, 170.97119","-63.848701, -121.429291",12/6/2023 5:54,12/6/2023 7:31,6.5,97,6,7,11,20,4.17,2.47,1.9,"27.94468, -150.930669",Available,"-52.41118473673482, 36.91010525669421","-51.946428447230055, 36.11993297044379",202,35.1,50.95,42.06,Moderate,1.269482654,5693,0.87,8.35,34.77,61,Afternoon,Rainy,Sunday,Heavy,36,57,26-35,48
0,7,2.747501389,85CW8E,68O0EU,JP55PI,JIP6GV,"-65.14181, -119.629184","-57.857268, -173.719161",12/6/2023 8:27,12/6/2023 8:51,34.93,24,6,19,29,15,3.17,2.46,1.2,"-32.417113, 49.510275",Unavailable,"-4.733583809478247, -161.0144834805882","-4.4574845083165755, 198.7074261365656",921,40.56,8.8,32.74,Heavy,0.927811375,6327,0.96,11.13,92.1,95,Night,Cloudy,Friday,Light,12,78,36-45,1
0,8,2.368409773,EUV0XZ,TK0X2Q,ND3MXJ,URZGCY,"-52.549709, -69.406686","49.362138, 76.468273",12/6/2023 15:40,12/6/2023 16:55,1.2,75,10,6,26,24,2.24,1.26,2,"7.62526, 145.133457",Available,"-39.66991539399589, -72.5054031338305","-40.57824727122483, 287.8967574721392",365,15.13,92.16,15.4,Light,1.022004145,7752,0.84,6.17,44.08,61,Morning,Cloudy,Wednesday,Light,10,73,46-55,30
0,9,7.176208522,SU9861,N8LZLE,MAXR7V,NKI3G5,"-53.939791, -65.396011","-31.029756, -70.253323",12/6/2023 14:48,12/6/2023 15:14,47.72,26,3,17,6,29,4.95,2.05,1.4,"-1.833102, 51.203313",Unavailable,"-79.95175254945404, 69.16998353894638","-80.32982367232306, 68.57192689102322",327,13.01,76.81,15.09,Moderate,-0.907533499,3869,0.88,5.04,83.51,55,Morning,Cloudy,Sunday,Heavy,59,75,56+,32
0,10,5.628211706,IJGOFF,DLPMI4,6D0906,0AXB8T,"77.580152, -10.630373","-85.859782, 43.081228",12/6/2023 19:03,12/6/2023 20:43,11.71,100,4,22,27,16,4.69,1.25,1.8,"25.555727, -50.867869",Unavailable,"40.09268377740699, 23.765701725341557","39.66843422401408, 23.435246514292114",768,66.01,53.72,68.68,Heavy,-1.518734222,1532,0.82,8.26,45.15,44,Night,Sunny,Friday,Heavy,1,90,36-45,5
0,11,6.153740917,1UO7JG,KF6NLS,H0BC0J,9EJ38N,"58.837257, 136.654088","-9.540287, -143.71524",12/6/2023 15:43,12/6/2023 15:55,42.01,12,1,19,25,4,3.73,1.6,2.8,"75.944825, 9.689972",Available,"0.17333347199227944, 109.95375982394813","0.7792388905768628, 110.32056767913691",490,51.55,39.03,60.46,Heavy,-0.06646152,800,0.87,8.11,53.52,106,Evening,Sunny,Tuesday,Moderate,40,98,18-25,14
